index,sura,aya,text,english,indonesian
1,1,1,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the name of Allah, Most Gracious, Most Merciful.",Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.
2,1,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,"Praise be to Allah, the Cherisher and Sustainer of the worlds;","Segala puji bagi Allah, Tuhan semesta alam."
3,1,3,الرَّحْمَنِ الرَّحِيمِ,"Most Gracious, Most Merciful;",Maha Pemurah lagi Maha Penyayang.
4,1,4,مَالِكِ يَوْمِ الدِّينِ,Master of the Day of Judgment.,Yang menguasai di Hari Pembalasan.
5,1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,"Thee do we worship, and Thine aid we seek.","Hanya Engkaulah yang kami sembah, dan hanya kepada Engkaulah kami meminta pertolongan."
6,1,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,"Show us the straight way,","Tunjukilah kami jalan yang lurus,"
7,1,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka; bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.
8,2,1,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ الم,A. L. M.,Alif laam miim.
9,2,2,ذَلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ هُدًى لِلْمُتَّقِينَ,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;","Kitab (Al Quran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,"
10,2,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;","(yaitu) mereka yang beriman kepada yang ghaib, yang mendirikan shalat, dan menafkahkan sebahagian rezeki yang Kami anugerahkan kepada mereka."
